10    , 0.0208333333
20    , 0.0333333333
30    , 0.05
40    , 0.05
50    , 0.0416666667
60    , 0.075
70    , 0.0882352941
80    , 0.1
90    , 0.1111111111
100   , 0.1041666667
200   , 0.15
300   , 0.175
400   , 0.1967213115
500   , 0.2040816327
600   , 0.2195121951
700   , 0.2285714286
800   , 0.2295081967
900   , 0.2407407407
1000  , 0.2448979592
2000  , 0.2786885246
3000  , 0.25
4000  , 0.2333333333
5000  , 0.2244897959
6000  , 0.225
7000  , 0.2428571429
8000  , 0.262295082
9000  , 0.2407407407
10000 , 0.2448979592
