	0.5		,  -40.21
	1			, -118.1
	1.5		, -203.6
	2			, -284.2
	3			, -400.1
	4			, -474.2
	5			, -527.5
	6			, -570.4
	7			, -604.5
	8			, -634.6
	9			, -661.3
	10		, -685.5
	9			, -668.3
	8			, -650.5
	7			, -630.4
	6			, -605.3
	5			, -575.2
	4			, -541.7
	3			, -495.4
	2			, -430.2
	1.5		, -377.4
	0.9		, -281.1
	0.2		, -148
	0			, -123.2
	-0.5		, -38.22
	-0.7		,	0
	-1			,  60.46
	-1.5		, 145.2
	-2			, 233.1
	-3			, 368
	-4			, 459
	-5			, 518.3
	-6			, 565.2
	-7			, 599.5
	-8			, 631.9
	-9			, 660.4
	-10			, 683.3
	-9			, 683.3
	-8			, 644.9
	-7			, 622.6
	-6			, 600.9
	-5			, 571.9
	-4			, 536.5
	-3			, 491.4
	-2			, 424.1
	-1.5		, 372.6
	-1			, 295.1
	-0.5		, 198.4
	0				, 122.3
	0.5		,  44.96
	1			, -54.85
	1.5		,-143.2
	2			,-227.4
	3			,-360.8
	4			,-455.5
	5			,-514.8
	6			,-577.5
	7			,-597
	8			,-628.9
	9			,-657.1
	10		,-683.3
