0.271 , 0         ,   3.678
0.339 , 0         ,   2.253
0.415 , 1.355e-3  ,   2.132
0.434 , 2.71e-3   ,   1.539
0.542 , 2.71e-3   ,   0.408
0.686 , 2.71e-3   ,   -1.580
0.818 , 2.71e-3   ,   -2.096
0.916 , 0.014     ,   -2.645
1.084 , 2.71e-3   ,   -2.538
1.203 , 5.42e-3   ,   -2.375
1.306 , 2.71e-3   ,   -2.465
